KEY,NOTES,ENGLISH,DANISH
SEED.WHEAT_SEED.TOOLTIP,{{VEGETABLE.WHEAT.TOOLTIP}},"A cereal grain generally used for the production of bread. It can survive {{SEASON.WINTER}} but takes a while to grow, so it is either planted in {{SEASON.SPRING}} or {{SEASON.AUTUMN}}.","En kornkorn, der almindeligvis anvendes til fremstilling af brød. Det kan overleve {{SEASON.WINTER}}, men det tager et stykke tid at vokse, så det er enten plantet i {{SEASON.SPRING}} eller {{SEASON.AUTUMN}}."

SHRUB.DESCRIPTION,Shrub or bush should do,Bush,- Bush

STATUS.ALCOHOL_WITHDRAWL,,Alcohol withdrawl,
STATUS.BLEEDING,,Bleeding,
STATUS.BLINDED,,Blind,
STATUS.DEATH,,Dead,
STATUS.DRUNK,,Drunk,
STATUS.DYING_OF_HUNGER,,Dying of hunger,
STATUS.DYING_OF_THIRST,,Dying of thirst,
STATUS.EXHAUSTED,,Exhausted,
STATUS.INTERNAL_BLEEDING,,Internal bleeding,
STATUS.KNOCKED_UNCONSCIOUS,,Unconscious,
STATUS.MOVEMENT_IMPAIRED,,Impaired movement,
STATUS.ON_FIRE,,On fire,
STATUS.POISONED,,Poisoned,
STATUS.TEMPORARILY_BLINDED,,Temporarily blinded,
STATUS.VERY_HUNGRY,,Very hungry,
STATUS.VERY_THIRSTY,,Very thirsty,

STOCKPILE.GROUP.FOOD,,Food,
STOCKPILE.GROUP.FOOD.TOOLTIP,,Stores harvested fruit and vegetables which can expire.,
STOCKPILE.GROUP.FUEL,,Fuel,
STOCKPILE.GROUP.GRANARY,,Granary,
STOCKPILE.GROUP.GRANARY.TOOLTIP,,Stores grains and seeds which will not expire.,
STOCKPILE.GROUP.PRODUCTS,,Products,
STOCKPILE.GROUP.RAW_MATERIALS,,Raw materials,
STOCKPILE.GROUP.SEEDS,,Seeds,
STOCKPILE.GROUP.TOOLS,,Tools,
STOCKPILE.GROUP.TOOLS.TOOLTIP,,Stores tools required for working on jobs.,
STOCKPILE.GROUP.WEAPONS,,Weapons,
STOCKPILE.GROUP.WEAPONS.TOOLTIP,,Stores harvested fruit and vegetables which can expire.,

STONE.BASALT.ADJECTIVE,,Basalt,Basalt
STONE.BASALT.NOUN,,Basalt,Basalt
STONE.BASALT.TOOLTIP,,An igneous rock formed by the rapid cooling of lava. Almost all of the volcanic rock in the world is basalt.,En magmatisk sten dannet af hurtig afkøling af lava. Næsten alle vulkanske sten i verden er basalt.
STONE.DOLOSTONE.ADJECTIVE,,Dolostone,Dolostone
STONE.DOLOSTONE.NOUN,,Dolostone,Dolostone
STONE.DOLOSTONE.TOOLTIP,,"A sedimentary rock mostly made up of the mineral dolomite, so it is also known as dolomite rock.","En sedimentær sten, der hovedsagelig består af mineralet dolomit, så det er også kendt som dolomitsten."
STONE.FRONITE.ADJECTIVE,,Frónite,Frónite
STONE.FRONITE.NOUN,,Frónite,Frónite
STONE.FRONITE.TOOLTIP,,A blue-hued rock mostly found on an icy island to the north. It has a high iron content.,En blå-hued rock mest fundet på en iskoldt ø mod nord. Det har et højt jernindhold.
STONE.GRANITE.ADJECTIVE,,Granite,Granit
STONE.GRANITE.NOUN,,Granite,Granit
STONE.GRANITE.TOOLTIP,,"A common type of igneous rock. It has a large proportion of quartz, making it good for locating certain gemstones.","En almindelig type magmatisk sten. Den har en stor del kvarts, hvilket gør den god til at lokalisere visse ædelstene."
STONE.LIMESTONE.ADJECTIVE,,Limestone,Kalksten
STONE.LIMESTONE.NOUN,,Limestone,Kalksten
STONE.LIMESTONE.TOOLTIP,,A lightly-coloured sedimentary rock which makes for a good building material. It is also used as a flux in the production of {{METAL.STEEL.NOUN}}.,"En lysfarvet sedimentbjergarter, som giver et godt byggemateriale. Det bruges også som en flux i produktionen af {{METAL.STEEL.NOUN}}."
STONE.MARBLE.ADJECTIVE,,Marble,Marmor
STONE.MARBLE.NOUN,,Marble,Marmor
STONE.MARBLE.TOOLTIP,,A metamorphic rock which is used as a high-quality material for sculpture and masonry due to its brilliant appearance.,"En metamorf sten, der bruges som et materiale af høj kvalitet til skulptur og murværk på grund af sin strålende udseende."
STONE.SANDSTONE.ADJECTIVE,,Sandstone,Sandsten
STONE.SANDSTONE.NOUN,,Sandstone,Sandsten
STONE.SANDSTONE.TOOLTIP,,"A sedimentary rock composed of sand-like fragments. ",En sedimentær sten bestående af sandlignende fragmenter.
STONE.SHALE.ADJECTIVE,,Shale,Skiferler
STONE.SHALE.NOUN,,Shale,Skiferler
STONE.SHALE.TOOLTIP,,A fine-grained sedimentary rock composed of pressurized mud. It can be easily broken into thin layers.,En finkornet sedimentær sten bestående af trykmudder. Det kan let brydes i tynde lag.
STONE.SLATE.ADJECTIVE,,Slate,Skifer
STONE.SLATE.NOUN,,Slate,Skifer
STONE.SLATE.TOOLTIP,,A metamorphic rock that is usually formed out of {{STONE.SHALE.NOUN}}. It is often made into tiles for roofing or writing.,"En metamorf sten, der normalt dannes ud af {{STONE.SHALE.NOUN}}. Det er ofte lavet til fliser til tagdækning eller skrivning."

TOOL.AXE.NOUN,,Axe,Økse
TOOL.AXE.TOOLTIP,,Used to chop down trees. The primary tool of a {{PROFESSION.WOODCUTTER}}.,Bruges til at hugge træer ned. Det primære værktøj af en {{PROFESSION.WOODCUTTER}}.
TOOL.CHISEL.NOUN,,Chisel,Mejsel
TOOL.CHISEL.TOOLTIP,,Used to sculpt rock into shape. One of the tools used by a {{PROFESSION.STONEMASON}}.,"Bruges til at forme sten i form. Et af de værktøjer, der bruges af en {{PROFESSION.STONEMASON}}."
TOOL.FISHING.ROD.NOUN,,Fishing rod,Fiskestang
TOOL.FISHING.ROD.TOOLTIP,,Used to catch fish from a body of water. The primary tool of a {{PROFESSION.FISHER}}.,Bruges til at fange fisk fra en vandmasse. Det primære værktøj af en {{PROFESSION.FISHER}}.
TOOL.KITCHEN.KNIFE.NOUN,,Kitchen knife,Køkkenkniv
TOOL.KITCHEN.KNIFE.TOOLTIP,,"Used to prepare food, particularly meat.","Bruges til at forberede mad, især kød."
TOOL.LARGE.HAMMER.NOUN,,Large hammer,Stor hammer
TOOL.LARGE.HAMMER.TOOLTIP,,Used to bash large items of stone and metal into shape. The primary tool of a {{PROFESSION.BLACKSMITH}}.,Bruges til at bash store genstande af sten og metal i form. Det primære værktøj af en {{PROFESSION.BLACKSMITH}}.
TOOL.PICKAXE.NOUN,,Pickaxe,Hakse
TOOL.PICKAXE.TOOLTIP,,Used to break stone into smaller pieces. The primary tool of a {{PROFESSION.MiNER}}.,Bruges til at bryde sten i mindre stykker. Det primære værktøj af en {{PROFESSION.MiNER}}.
TOOL.PLANE.NOUN,A carpenter's plane,Plane,Flyet
TOOL.PLANE.TOOLTIP,,Used to shave wooden furniture and items into shape. The primary tool of a {{PROFESSION.CARPENTER}}.,Bruges til at barbere træmøbler og genstande i form. Det primære værktøj af en {{PROFESSION.CARPENTER}}.
TOOL.ROLLING.PIN.NOUN,,Rolling pin,Rullestift
TOOL.ROLLING.PIN.TOOLTIP,,Used to prepare dough. One of the tools used by a {{PROFESSION.CHEF}}.,"Bruges til at forberede dej. Et af de værktøjer, der bruges af en {{PROFESSION.CHEF}}."
TOOL.SAW.NOUN,A carpenter's saw,Saw,Så
TOOL.SAW.TOOLTIP,,Used to cut wood into shape. Required for cutting lumber in the {{ROOMS.SAWMILL}}.,Bruges til at skære træ i form. Kræves til at skære tømmer i {{ROOMS.SAWMILL}}.
TOOL.SMALL.HAMMER.NOUN,,Hammer,Hammer
TOOL.SMALL.HAMMER.TOOLTIP,,Used to bash small items of stone and metal into shape. One of the tools used by a {{PROFESSION.BLACKSMITH}}.,"Bruges til at bash små genstande af sten og metal i form. Et af de værktøjer, der bruges af en {{PROFESSION.BLACKSMITH}}."
TOOL.TONGS.NOUN,A blacksmith's tongs,Tongs,Tænger
TOOL.TONGS.TOOLTIP,,Used to hold extremely hot metal items. Used in the process of smelting metal ore.,Bruges til at holde ekstremt varme metalgenstande. Anvendes til smeltning af metalmalm.

TREE.DESCRIPTION,E.g. “Oak tree”,{{materialType.noun}} tree,{{materialType.noun}} træ

TUTORIAL.1.A,,"Your settlers have three basic needs to fulfil: food, drink and somewhere to sleep. Although they will complain about it for now, they can drink from the nearby river and sleep on the ground. What they can’t do is magic up some food from nowhere (at least, not without a mage around!) so we will focus on food to begin with.","Dine bosættere har tre grundlæggende behov at opfylde: mad, drikke og et sted at sove. Selv om de vil klage over det for nå, kan de drikke fra den nærliggende elven og sove på bakken. Hvad de ikke kan gøre, er at trylle noget mad fra ingenting (i hvert fald ikke uden en troldmand rundt!) så vi vil fokusere på mad til at begynde med."
TUTORIAL.1.B,,"The first thing you should do each spring is ensure that enough crops have been planted for the harvest in autumn. Farming is a reliable and sustainable food source, but you need to make sure you have enough crops to feed your population between each annual harvest.","Det første du skal gøre hvert forår er at sikre, at der er plantet nok afgrøder til høsten i efteråret. Landbrug er en pålidelig og bæredygtig fødekilde, men du skal sørge for, at du har nok afgrøder til at brødføde din befolkning mellem hver årlig høst."
TUTORIAL.1.C,,"A good rule of thumb to follow is to ensure you have 10 tiles of crops being sown for each settler in your population. Currently there are 7 settlers milling around, so go ahead and click “{{GUI.ZONES_LABEL}}” > “{{ROOMS.FARM}}”, and designate / drag out several farm plots on a grassy area.","En god tommelfingerregel at følge er at sikre, at du har 10 fliser af afgrøder, der bliver sået for hver bosætter i din befolkning. I øjeblikket er der 7 bosættere, der fræser rundt, så gå videre og klik på „{{GUI.ZONES_LABEL}}“ > „{{ROOMS.FARM}}“, og angiv/træk flere bondepladser ud på et græsareal."
TUTORIAL.1.D,,Use right-click to cancel and go back in menus.,
TUTORIAL.2.A,,"With nothing else to do, your settlers will start preparing these {{ROOMS.FARM.PLURAL}} by tilling the earth to be ready for seeds to be sown. This doesn’t require any special tools or knowledge so everyone should get involved.","Med intet andet at gøre, vil dine bosættere begynde at forberede disse {{ROOMS.FARM.PLURAL}} ved at gøre jorden klar til at blive sået. Dette kræver ingen specielle værktøjer eller viden, så alle bør involveres."
TUTORIAL.2.B,,"This prepares the plot to be sown, but you need to select which crop to grow on each farm plot before a farmer will come and plant the relevant seeds. Your settlers have brought with them a selection of different seeds. You can click “Resources” in the upper-right to get a breakdown of all the items in your settlement.","Dette forbereder plottet, der skal såes, men du skal vælge, hvilken afgrøde der skal dyrkes på hver gård, før en landmand kommer og planter de relevante frø. Dine bosættere har bragt med sig et udvalg af forskellige frø. Du kan klikke på „Ressourcer“ øverst til højre for at få en oversigt over alle elementerne i din afregning."
TUTORIAL.2.C,,"For the seeds to actually be available to your farmers, they need to be in a stockpile compared to being held in a dwarf’s inventory like they are currently. Click {{GUI.ZONES_LABEL}} > {{ROOMS.STOCKPILES}} > {{STOCKPILE.GROUP.SEEDS}} (you can right-click to go back up to a previous menu) and designate an area to be used for seeds to be stored.","For at frøene rent faktisk skal være tilgængelige for dine landmænd, skal de være i et lager sammenlignet med at blive holdt i en dværgs opgørelse, som de er i øjeblikket. Klik på {{GUI.ZONES_LABEL}} > {{ROOMS.STOCKPILES}} > {{STOCKPILE.GRANARY}} (du kan højreklikke for at gå tilbage til en tidligere menu) og angive et område, der skal bruges som {{STOCKPILE.GRANARY}}, hvor frø og korn opbevares."
TUTORIAL.2.D,,Your settlers have also brought a bunch of tools with them what will need moving around. From {{ROOMS.STOCKPILES}} also choose {{STOCKPILE.GROUP.TOOLS}} and designate another area to be used to store tools.,
TUTORIAL.3.A,,"After some time your settlers should put items they are not using into stockpiles, like the seeds that are to be sown.","Efter et stykke tid bør dine bosættere sætte ting, de ikke bruger, i lagre, som de frø, der skal sås."
TUTORIAL.3.B,,"Left-click on each of the {{ROOMS.FARM.PLURAL}} and select a crop to be planted there. Don’t select {{VEGETABLE.BARLEY}} or {{VEGETABLE.HOPS}} for now, as these crops are used in the production of beer, not food.","Venstreklik på hver af {{ROOMS.FARM.PLURAL}} og vælg en afgrøde, der skal plantes der. Vælg ikke {{{Vegetabilsk LE.BYGK}} eller {{VEGETABLE.BARLEY}} indtil nu, da disse afgrøder bruges til produktion af øl, ikke til mad."
TUTORIAL.4.A,,Your {{PROFESSION.FARMER.PLURAL}} will now get to work sowing the seeds you have selected to these {{ROOMS.FARM.PLURAL}}. Sowing seeds does not require any special tools but you might want to assign more settlers as {{PROFESSION.FARMER.PLURAL}}. Left-click on a settler who is wandering around aimlessly.,"Din {{PROFESSION.FARMER.PLURAL}} vil nu komme i gang med at såre de frø, du har valgt til disse {{ROOMS.FARM.PLURAL}}. Såning af frø kræver ingen specialværktøj, men du vil måske tildele flere bosættere som {{PROFESSION.FARMER.PLURAL}}. Venstre-klik på en bosætter, der vandrer rundt planløst."
TUTORIAL.4.B,,"Clicking on a settler lets you see their name, professions, inventory, needs and happiness. Click on the blank square button next to their other professions to set a 3rd and final profession as a {{PROFESSION.FARMER.NOUN}}.","Ved at klikke på en bosætter kan du se deres navn, erhverv, opgørelse, behov og lykke. Klik på den tomme firkantede knap ved siden af deres andre erhverv for at sætte et 3. og sidste erhverv som {{PROFESSION.FARMER.NOUN}}."
TUTORIAL.4.C,,"Note that some jobs require the settler to have a specific tool in their inventory, and if none are available in the settlement they won’t work on the jobs that require it. For example, you can assign more settlers as a {{PROFESSION.WOODCUTTER}}, but they can’t chop down trees without an available {{TOOL.AXE.NOUN}}.","Bemærk, at nogle job kræver, at opsætteren har et bestemt værktøj i deres lager, og hvis ingen er tilgængelige i udligningen, vil de ikke arbejde på de job, der kræver det. Du kan f.eks. tildele flere bosættere som en {{PROFESSION.WOODCUTTER}}, men de kan ikke hugge træer uden en tilgængelig {{TOOL.AXE.NOUN}}."
TUTORIAL.5.A,,"Your crops will now grow and eventually be harvested by your {{PROFESSION.FARMER.PLURAL}} in the {{SEASON.AUTUMN}}. Some crops can be planted again later in the year and survive through the {{SEASON.WINTER}}, but some do not. To get the most out of your crops, it is best to produce soup from the vegetables harvested, or bread from grain.","Dine afgrøder vil nu vokse og til sidst blive høstet af din {{PROFESSION.FARMER.PLURAL}} i {{SEASON.AUTUMN}}. Nogle afgrøder kan plantes igen senere på året og overleve gennem {{SEASON.WINTER}}, men nogle gør det ikke. For at få mest muligt ud af dine afgrøder er det bedst at producere suppe fra de høstede grøntsager eller brød fra korn."
TUTORIAL.5.B,,"Let’s get a {{ROOMS.KITCHEN}} set up to produce soup once your crops are ready. Go to the top level menu then {{GUI.ZONES_LABEL}} > {{ROOMS.KITCHEN}} and drag out a {{ROOMS.KITCHEN}} area. For now you can build this outside, but you will eventually want to move the majority of your work areas inside for protection from the elements.","Lad os få en {{ROOMS.KITCHEN}} sat op til at producere suppe, når dine afgrøder er klar. Gå til menuen på øverste niveau, og derefter {{ZONES.LABEL}} > {{ROOMS.KITCHEN}} og træk et {{ROOMS.KITCHEN}} område ud. På dette tidspunkt i udviklingen af konge under bjerget er det ligegyldigt, om det er udenfor eller indendørs, men i fremtiden vil du have alle dine værelser til at have et loft for at beskytte dem mod elementerne."
TUTORIAL.5.C,,"Unlike farm plots, kitchens (and most other rooms) need furniture to function. Click “Furniture” when you have placed a kitchen zone and you’ll be presented with the furniture that can be added. To produce soup, you need to build a {{FURNITURE.WATER_BARREL}}, {{FURNITURE.KITCHEN_WORKTOP}} and {{FURNITURE.CAULDRON}} in the same kitchen zone. Also, designate a {{STOCKPILE.GROUP.FOOD}} {{ROOMS.STOCKPILE}} to store any harvested crops.","I modsætning til gårdspladser har køkkener (og de fleste andre værelser) brug for møbler til at fungere. Klik på „Møbler“, når du har placeret en køkkenzone, og du vil blive præsenteret for de møbler, der kan tilføjes. For at producere suppe skal du bygge en {{FURNITURE.WATER_BARREL}}, {{FURNITURE.KITCHEN_WORKTOP}} og {{FURNITURE.CAULDRON}} i samme køkkenzone. Angiv også et {{STOCKPILE.PANTRY}} område til opbevaring af eventuelle høstede afgrøder."
TUTORIAL.6.A,,"When your crops have been harvested, cooks will bring vegetables to the {{FURNITURE.KITCHEN_WORKTOP}} before adding them to the {{FURNITURE.CAULDRON}} with water and producing soup! Making soup and baking bread means your food supplies will go much further - a single vegetable will feed a dwarf for a single meal, but 3 vegetables cooked into soup will provide 12 meals!","Når dine afgrøder er høstet, vil kokke bringe grøntsager til {{FURNITURE.KITCHEN_WORKTOP}}, før du tilføjer dem til {{FURNITURE.CHEFS_CAULDRON}} med vand og producerer suppe! At lave suppe og bagning af brød betyder, at dine fødevareforsyninger vil gå meget længere - en enkelt grøntsag vil fodre en dværg til et enkelt måltid, men 3 grøntsager kogt i suppe vil give 12 måltider!"
TUTORIAL.6.B,,"Eventually this kitchen will produce a cauldron full of steaming hot soup, but the cooks don’t like other dwarves getting in the way in their kitchen, so instead you need to have the soup brought to a feasting hall for the whole settlement to enjoy. Designate a feasting hall by clicking on {{GUI.ZONES_LABEL}} > {{ROOMS.FEASTING_HALL}}, then add a {{FURNITURE.CAULDRON}} to it. Note that a feasting hall cauldron won’t be placed until a cauldron containing thick, delicious soup is available.","Til sidst vil dette køkken producere en kedel fuld af dampende varm suppe, men kokkene kan ikke lide, at andre dværge kommer i vejen i deres køkken, så i stedet skal du have suppen bragt til en festsal, så hele forliget kan nyde. Angiv en festsal ved at klikke på {{ZONES.LABEL}} > {{ROOMS.FEASTING_HALL}}, og tilføj derefter en {{FURNITURE.CAULDRON}} til den. Bemærk, at der ikke vil blive placeret en kedel med tyk, lækker suppe."
TUTORIAL.7.A,,Over time you will want to expand your food production but this will keep our small settlement nourished for the upcoming winter - your settlers have brought rations to sustain them while the first crops grow.,"Over tid vil du gerne udvide din fødevareproduktion, men dette vil holde vores lille bosættelse næret til den kommende vinter - dine bosættere har bragt rationer til at opretholde dem, mens de første afgrøder vokser."
TUTORIAL.7.B,,"Most items and furniture are produced out of {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.PLANKS.PLURAL}} or {{MATERIAL_TYPE.STONE.ADJECTIVE}} {{RESOURCE.STONE.BLOCK.PLURAL}}. It’s important to maintain a large supply of these. {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.PLANKS.PLURAL}} are produced in a {{ROOMS.SAWMILL}}, and {{MATERIAL_TYPE.STONE.ADJECTIVE}} {{RESOURCE.STONE.BLOCK.PLURAL}} are crafted by a {{PROFESSION.STONEMASON}} in a {{ROOMS.MASONRY_WORKSHOP}}. Place one of each of these zones, and build a {{FURNITURE.WOODCUTTERS_BENCH}} and {{FURNITURE.STONEMASON_WORKBENCH}} in them.","De fleste varer og møbler er produceret af {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.PLANKS.PLURAL}} eller {{MATERIAL_TYPE.STONE.ADJECTIVE}} {{RESOURCE.STONE.BLOCK.PLURAL}}. Det er vigtigt at opretholde et stort udbud af disse. {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.PLANKS.PLURAL}} er produceret i en {{ROOMS.SAWMILL}} {{MATERIAL_TYPE.STONE.ADJECTIVE}} er lavet af en {{RESOURCE.STONE.BLOCK.PLURAL}} i en {{PROFESSION.STONEMASON}} {{ROOMS.MASONRY_WORKSHOP}} {{{{ROOMS.MASONR Placer en af hver af disse zoner, og bygg en {{FURNITURE.WOODCUTTERS_BENCH}} og {{FURNITURE.STONEMASON_WORKBENCH}} i dem."
TUTORIAL.8.A,,"Now you are ready to produce {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.PLANKS.PLURAL}} and {{MATERIAL_TYPE.STONE.ADJECTIVE}} {{RESOURCE.STONE.BLOCK.PLURAL}}, but they require other resources to craft them - {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.LOGS.PLURAL}} and {{RESOURCE.STONE.UNREFINED.PLURAL}}. Fortunately these can usually be harvested from the game world quite easily.","Nu er du klar til at producere {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.PLANKS.PLURAL}} og {{MATERIAL_TYPE.STONE.ADJECTIVE}}, men de kræver andre ressourcer til at fremstille dem - {{RESOURCE.STONE.BLOCK.PLURAL}} {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.LOGS.PLURAL}} {{RESOURCE.STONE.UNREFINED.PLURAL}} Uraffineret.PLURAL}}. Heldigvis kan disse normalt høstes fra spilverdenen ganske let."
TUTORIAL.8.B,,Select {{GUI.ORDERS_LABEL}} > {{GUI.ORDERS.CHOP_WOOD}} and click-and-drag over trees to let your woodcutters know to cut them down. Similarly you can select select {{GUI.ORDERS_LABEL}} > {{GUI.ORDERS.MINE}} and click-and-drag an area of the mountain to designate to be mined. Select enough of both to build your stockpiles back up to 40 of each.,"Vælg {{GUI.ORDERS_LABEL}} > {{GUI.ORDERS.CHOP_WOOD}}, og klik og træk over træerne for at lade dine træskærere vide, at de skal nedskæres. På samme måde kan du vælge {{GUI.ORDERS_LABEL}} > {{GUI.ORDERS.MINE}} og klikke på og trække et område af bjerget for at angive, at der skal udvindes. Vælg nok af begge til at bygge dine lagre op til 40 af hver."
TUTORIAL.8.C,,"Be careful with mining! A mined-out area of 7 by 7 tiles without a {{FURNITURE.PILLAR}} built within that area will collapse! ",Vær forsigtig med minedrift! Et udvundet område på 7 af 7 fliser uden en {{FURNITURE.PILLAR}} bygget inden for dette område vil kollapse!
TUTORIAL.CAMERA.A,,"You can use the W, A, S and D keys or the arrow keys to pan the camera around. Moving the cursor to the edge of the screen also pans the camera, but this can be disabled in the options menu.",
TUTORIAL.CAMERA.B,,Scrolling the mouse wheel or pressing the Q and E keys zooms the camera in or out.,
TUTORIAL.CAMERA.C,,"In the lower-right section of the screen is the minimap, and you can click on this to jump the camera to that point. Click on the “Minimap” label to show or hide the minimap.",
TUTORIAL.CAMERA.D,,Try out these camera controls and then click “Next” to proceed.,
TUTORIAL.FINAL.A,,"This covers the basics of playing King under the Mountain. For your next challenge, aim to set up a functioning {{ROOMS.METALWORKS}} with a {{FURNITURE.FORGE}} provided with fuel and refined metal ore. Refined metal ores are produced at the {{FURNITURE.ORE_CRUSHING_STATION}}, and fuel can be crushed from coal or produced out of {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.LOGS.PLURAL}} with a {{FURNITURE.CHARCOAL_CLAMP}} in an {{ROOMS.EARTHWORKS}}. Good luck!","Dette dækker det grundlæggende i at spille konge under bjerget. Til din næste udfordring skal du sætte en fungerende {{ROOMS.METALWORKS}} med en {{FURNITURE.FORGE}} forsynet med brændstof og raffineret metalmalm. Raffinerede metalmalme produceres på {{FURNITURE.ORE_CRUSHING_STATION}}, og brændstoffet kan knuses fra kul eller produceres af {{MATERIAL_TYPE.WOOD.ADJECTIVE}} {{RESOURCE.LOGS.PLURAL}} med en {{FURNITURE.CHARCOAL_CLAMP}} i en {{{{{{{{{{{{{{{ROOMS.EarthWOR Held og lykke!"
TUTORIAL.PROGRESS_DESCRIPTION.FARM_PLOT_SELECTIONS,Used to show a progress indicator for how many farm plots have a crop selected e.g. 2 of 10 farm plots with a crop assigned,{{ROOMS.FARM.PLURAL}} with a crop assigned,{{ROOMS.FARM.PLURAL}} med en afgrøde tildelt
TUTORIAL.PROGRESS_DESCRIPTION.PROFESSIONS_ASSIGNED,Used to show a progress indicator for how many of a certain profession have been assigned e.g. 2 of 10 farmers assigned,{{professionPlural}} assigned,{{professionPlural}} tildelt
TUTORIAL.PROGRESS_DESCRIPTION.TEXT,Used to show a progress indicator in the form: 2 of 10 stone blocks,{{currentQuantity}} of {{requiredQuantity}} {{targetDescription}},{{currentQuantity}} af {{requiredQuantity}} {{targetDescription}}
TUTORIAL.PROGRESS_DESCRIPTION.TILES,Used to show a progress indicator for a certain number of tiles e.g. 2 of 10 farm plot tiles,{{roomName}} tiles,{{roomName}} fliser
TUTORIAL.SAVING.A,,"Your progress is saved automatically at midnight, and also whenever you exit the game. You can also quicksave by pressing the F5 key.",
TUTORIAL.TIME.A,,"The upper-right section of the screen shows the current date and time, and has controls for the game speed.",
TUTORIAL.TIME.B,,You can press the spacebar to pause or unpause the game.,
TUTORIAL.TIME.C,,"The 1 key sets the game to run at normal speed, while the 2, 3 and 4 keys make the game run at an increasingly faster pace. The game will automatically jump to speed 4 while all your settlers are asleep.",
TUTORIAL.TIME.D,,You can also click the speed icons to change the speed or pause the game.,

VEGETABLE.BARLEY,,Barley,Byg
VEGETABLE.BARLEY.PLURAL,,Barley,Byg
VEGETABLE.BARLEY.TOOLTIP,,"A grain used only in the production of beer. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.","Et korn, der kun anvendes til fremstilling af øl. Kan plantes i {{SEASON.SPRING}}, {{SEASON.SUMMER}} eller {{SEASON.AUTUMN}}."
VEGETABLE.BERSERKER_MUSHROOM,,Berserker mushroom,Berserker champignon
VEGETABLE.BERSERKER_MUSHROOM.PLURAL,,Berserker mushrooms,Berserker svampe
VEGETABLE.BERSERKER_MUSHROOM.TOOLTIP,,A mushroom with a pink-red cap bearing white spots. It has hallucinogenic properties which warriors sometimes use in preparation for battle.,"En svamp med en pink-rød hætte med hvide pletter. Det har hallucinogene egenskaber, som krigere sommetider bruger som forberedelse til kamp."
VEGETABLE.CARROT,,Carrot,Gulerod
VEGETABLE.CARROT.PLURAL,,Carrots,Gulerødder
VEGETABLE.CARROT.TOOLTIP,,"A hardy root vegetable that survives the {{SEASON.WINTER}} frost. Carrots grow quickly but only produce a small crop. Can be planted in {{SEASON.SPRING}}, {{SEASON.SUMMER}} or {{SEASON.AUTUMN}}.","En hårdfør rodfrugt, der overlever {{SEASON.WINTER}} frost. Gulerødder vokser hurtigt, men producerer kun en lille afgrøde. Kan plantes i {{SEASON.SPRING}}, {{SEASON.SUMMER}} eller {{SEASON.AUTUMN}}."
VEGETABLE.CORN,,Sweetcorn,Sukkermajs
VEGETABLE.CORN.PLURAL,,Sweetcorn,Sukkermajs
VEGETABLE.CORN.TOOLTIP,,"A cereal grain also known as maize. It produces a bountiful crop but takes around 2 seasons to grow and can not survive {{SEASON.WINTER}}, so it requires planting in early {{SEASON.SPRING}}.","En kornkorn også kendt som majs. Den producerer en overdådig afgrøde, men tager omkring 2 sæsoner at vokse og kan ikke overleve {{SEASON.WINTER}}, så det kræver plantning tidligt {{SEASON.SPRING}}."
VEGETABLE.DEATH_CAP_MUSHROOM,,Death cap mushroom,Død cap champignon
VEGETABLE.DEATH_CAP_MUSHROOM.PLURAL,,Death cap mushrooms,Død cap svampe
VEGETABLE.DEATH_CAP_MUSHROOM.TOOLTIP,,"A very poisonous mushroom with a wide, flat cap. Eating even a tiny amount will almost certainly cause poisoning which can lead to death.","En meget giftig champignon med en bred, flad hætte. At spise selv en lille mængde vil næsten helt sikkert forårsage forgiftning, som kan føre til døden."
VEGETABLE.DRAGONFRUIT,,Dragonfruit,Dragefrugt
VEGETABLE.DRAGONFRUIT.PLURAL,,Dragonfruits,Dragonfrugter
VEGETABLE.ELFSBANE_MUSHROOM,,Elfsbane mushroom,Elfsbane champignon
VEGETABLE.ELFSBANE_MUSHROOM.PLURAL,,Elfsbane mushrooms,Elfsbane svampe
VEGETABLE.ELFSBANE_MUSHROOM.TOOLTIP,,"This mushroom has a simple, flavourless taste to most humanoids. Strangely, it tastes absolutely disgusting to elves, who often react with explosive vomiting upon consumption, or in extreme cases, a heart attack.","Denne svamp har en enkel, smagløs smag til de fleste humanoider. Mærkeligt smager det helt modbydeligt for alfer, der ofte reagerer med eksplosiv opkastning ved forbrug eller i ekstreme tilfælde et hjerteanfald."
VEGETABLE.FIST_MUSHROOM,,Fist mushroom,Knytnæve champignon
VEGETABLE.FIST_MUSHROOM.PLURAL,,Fist mushrooms,Knytnæve svampe
